lei,name,domain,country
213800712DIBLTJTB538,EDWARD EVANS SETTLEMENT 2000,edwardjones.com,fr
213800LCUJ3L5ESASG07,SELARL CAP 15,selarl-cabinetdentaireglobal.chirurgiens-dentistes.fr,fr
213800AVTLQI7RYDRE78,LAMERS HIGH TECH SYSTEMS B.V.,lamers.be,nl
213800CFLMXPMXP8X858,INTEGRATED DYNAMICS ENGINEERING GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,idtdna.com,de
213800B8QEZG7CN3XX58,FLAMCO B.V.,flam7.com,nl
213800GYESGTX4K54D37,MEIBES SYSTEM-TECHNIK GMBH,meibes.com,de
213800O1RBSGQS75KW12,TRUFLO RONA S.R.L,tru-flow.com,it
2138001KA6I1RXLJRU49,CCI ITALY S.R.L.,ccis.edu,it
2138001ZD5BFLOWCOD02,REMOSA S.R.L.,remosa-valves.com,it
213800D93UX2U2YS3K55,BUSCHJOST GMBH,buschjostventile.de,de
213800WE4A1VLZYL7V39,NORGREN GMBH,norgren.com,de
213800VM5DP4I82ESH87,AIRBUS SECURE LAND COMMUNICATIONS GMBH,airbus.com,de
213800USX7VJ13FSTE25,ME DEVELOPPEMENT,mediafire.com,fr
213800BCWPISB3IW2473,AMBIENTA X SUSTAINABILITY FUND,ambient.ai,it
213800R9Z57EEW6EV961,HARE KASSENBOUW B.V.,harel-group.co.il,nl
213800QDYZY6RFBVVK83,CARLES INDUSTRIAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,carlesvila.com,pl
2138009JZ83DCKBW4W32,WOLSELEY FINANCE SP.ZOO,wolseley.co.uk,pl
213800P6FIX11KCAEP46,TECNICAS REUNIDAS SA JJC DESARROLLOS ESPAÑA SL UTE LAW 18/82,tecnicasreunidas.es,es
213800IORCGJGJTOJ977,TRAFILERIE MONZESI S.N.C. DI OGGIONNI GRAZIANO E FRATELLI,gnuttichiari.it,it
213800MAZTZUL26R6C90,PUBLICIS GROUPE INVESTMENTS B.V.,publicisgroupe.net,nl
21380051NJMRIHO7S119,RS HOLDCO2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,rsc.org,pl
2138009HT6Y8WR84XB13,JLC2,jlc.com,fr
2138007QO3L5B7GCOJ48,PROMONTORIA PHOENIX 1 B.V.,promontoria.com,nl
213800I6WUWIWOXZEW18,DIVISIONAL FINANCE 2007 B.V.,divisional.co,nl
213800FQNFMMTYJKQV77,CAMPARI INTERNATIONAL S.R.L.,camparigroup.com,it
21380061EQPSTOD1FF21,OGS NETHERLANDS BV,ogscapital.com,nl
2138007FCWNVHFSEZU12,"""OMD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",omdda.com,pl
213800R4XBARQQ34GP60,CARAT FRANCE,2-carat.net,fr
213800ML3JPGNXXOKI87,VIZEUM FRANCE,vizeum.com,fr
213800YU8Q7Y8EYRWE95,OMNICOMMEDIAGROUP NEDERLAND B.V.,omnicommediagroup.com,nl
213800YYT4OAHWO4YL69,FONCIERE FT RP,foncieredegestion.fr,fr
